ID;web-scraper-order;web-scraper-start-url;Expert;Expert-href;Title;Subtitle;Description;Image-src
49;1700469663-49;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/frank-van-der-ent/;Frank van der Ent;Xpert Sales & G2Market strategy;Frank van der Ent is a great expert to provide a second opinion because of his extensive experience in commercial strategy, go-to-market strategy, consolidation or integration process, growth or scale-up phase, business development, and mergers and acquisitions. He has a track record in general and commercial management positions in both corporate and smaller organizations. He is result-driven with a strong financial basis and an energetic team builder with the ability to align various interests from technical, operational, and commercial perspectives. His focus is not limited to the telecommunications and ICT industry in Belgium and the Netherlands. Based on his experience, he has the ability to analyze, define a strategy or solution, and execute.;https://xpertopinion.be/wp-content/uploads/2023/04/xpert-Frank-van-der-Ent.jpg
50;1700469667-50;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/florence-coppenolle/;Florence Coppenolle;Xpert Communication;Florence Coppenolle is a great expert to provide a second opinion because she has 20 years of in-depth experience in various fields of communication such as internal, external, crisis communication, media strategy, spokesperson, brand and reputation management. She has practical knowledge of an International Financial Institution (IFI) and extensive knowledge of politics, Belgian and international organizations and decision-making processes. She is also a quadrilingual professional of communication1.;https://xpertopinion.be/wp-content/uploads/2023/03/xpert-florence-coppenolle.jpg
51;1700469671-51;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/filip-michiels/;Filip Michiels;;Filip Michiels is a great expert to provide a second opinion because he has a proven track record of helping companies navigate major changes and disruptions. With his strategic enterprise view and digital execution/entrepreneurship skills, he can help companies make the shift they need to stay competitive in today’s fast-paced business environment. Filip has a wealth of experience in this area, having worked with many companies across different industries.;https://xpertopinion.be/wp-content/uploads/2023/04/xpert-filip-machiels.jpg
52;1700469674-52;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/elizabeth-badreddine/;Elizabeth Badreddine;;Elizabeth Badreddine is a young female corporate leader with roots in Belgium & Lebanon. She has more than 13 years of corporate experience and has broad knowledge of different domains such as products & services, sales & marketing, strategy & transformation, innovation. She has experience in transforming product portfolios from basic connectivity to digital service providers, innovating traditional telco businesses by introducing adjacent solutions, building & managing partner ecosystems to support growth strategies, and building knowledge & network in 3 different domains (customer care, advertisement & product management) in both B2C and B2B contexts. She is a purpose-driven leader who is energised by genuinely connecting with people and embraces diversity at large. Based on her experience and knowledge, Elizabeth Badreddine can provide a second opinion on product management, product launches, marketing done, leadership development and more;https://xpertopinion.be/wp-content/uploads/2023/04/xpert-Elizabeth-Badreddine.jpg
53;1700469677-53;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/edwin-van-waes/;Edwin Van Waes;Experienced Commercial and Executive Manager;Edwin Van Waes is a great expert to give a second opinion on sales matters. He has a long and successful career in the commercial sector, where he has inspired and motivated teams to get the best out of themselves. He has a result-oriented mentality, where he always strives for high standards, integrity and respect. He leads by example and conveys his enthusiasm and positive mindset to others. He also has a large network of personal contacts, who help him achieve his goals. He is currently commercial director at a company that specializes in IT solutions. He has a degree in industrial sciences: electronics-ICT (industrial engineer) from the University of Antwerp. Edwin Van Waes is someone who knows what he is talking about and who can help you improve your sales performance.;https://xpertopinion.be/wp-content/uploads/2023/03/edwin-van-waes.jpg
54;1700469680-54;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/dirk-debraekeleer/;Dirk Debraekeleer;;Dirk Debraekeleer is a seasoned leader who can help you take your organization and your people to the next level.;https://xpertopinion.be/wp-content/uploads/2023/04/xpert-dirk-de-braekeleer.jpg
55;1700469684-55;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/dieter-crappe/;Dieter Crappé;;Dieter Crappé is a business-oriented professional with a strong analytical & financial skillset combined with commercial know how. He is supporting executive teams (CEO/CMO/CFO) on transformational (growth) projects including commercial (go-to-market, customer segmentation, distribution strategy & product proposition) and general strategy development & execution. He has been involved in many M&A deals within the TMT industry as an advisor to private equity and industry players with a focus on commercial and financial due diligence, business case modelling & valuation and project management.;https://xpertopinion.be/wp-content/uploads/2023/04/xpert-dieter-crappe.jpg
56;1700469687-56;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/david-ducheyne/;David Ducheyne;Xpert in Organisational and Leadership Development;David Ducheyne is an expert in human behavior and strategies. He founded Otolith to help organizations and leaders with their strategies by focusing on human behavior. He believes that both strategy definition and execution are a matter of human behavior. David’s expertise in human behavior makes him a great expert to provide a second opinion on why people do what they do and why they don’t do what they are supposed to do. His experience of more than 25 years of corporate life has given him the knowledge and skills to help organizations and leaders with their strategies. David’s focus on human behavior can help organizations and leaders design, decide, and deliver through purposeful human action;https://xpertopinion.be/wp-content/uploads/2023/03/xpert-david-ducheyne.jpg
57;1700469690-57;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/chris-demeyere/;Chris Demeyere;;Chris Demeyere is a social media and digital marketing consultant with a lot of experience in both the public and private sectors as a social media manager.  His fields of expertise are social media strategy, marketing, advertising, conversation management, community management. He is also a recurring guest lecturer at KdG University College, Ehsal Management School, Vives Brugge and the Belgian Association of Marketing.;https://xpertopinion.be/wp-content/uploads/2023/04/xpert-chris-demeyere.jpg
58;1700469694-58;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/catherine-de-dorlodot/;Catherine de Dorlodot;Xpert in Corporate and Legal Affairs;Catherine de Dorlodot is an experienced trilingual executive with a collaborative people management style. She has a proven track record of driving multi-disciplinary teams to value maximization from strategy to execution. Her expertise in leadership, interpersonal skills, change management, teamwork, culture, coaching & mentoring, ethics & technologies, facilitation, executive management, budget management, B2B strategy, distribution, business development, innovative eco-systems, efficiency & operations, problem-solving, process management, project management, public affairs, corporate governance, M&A, risk management, legal & regulatory and contract negotiations make her an ideal candidate for a stimulating opportunity as a leader in regulated or public operations with transformational challenges.;https://xpertopinion.be/wp-content/uploads/2023/04/xpert-catherine-de-dorledot.jpg
59;1700469697-59;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/bjorn-van-reet/;Bjorn Van Reet;Xpert ICT strategy & organization;Bjorn Van Reet is a great expert to provide a second opinion because he has a wealth of experience in leadership, vision & strategy, people (HR), innovation, out-of-the-box thinking, architecture, ICT Infrastructure and governance, SOX, ITIL & PRINCE2. He is currently the Chief Information Officer (CIO) at Kinepolis Group1which is a Belgium fast-growing company with an international footprint active in 9 countries. He has been praised by his peers and won the Chief Digital Officer of the Year Awards 2021.;https://xpertopinion.be/wp-content/uploads/2023/03/xpert-bjorn-van-reet.jpg
60;1700469700-60;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/bjorn-crul/;Bjorn Crul;;Bjorn Crul is an outstanding expert, offering a 360° perspective on the world of communication, with experience spanning print, radio, TV, events, and social media. His diverse background includes work at VRT, Focus-WTV, Roularta, and KanaalZ, among others.;https://xpertopinion.be/wp-content/uploads/2023/05/xpert-bjorn-crul.jpg
61;1700469703-61;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/birgit-wauters/;Birgit Wauters;;Birgit Wauters is to provide an Xpertopinion via a one-hour video call, with extensive experience in customer interaction and CRM capabilities. Having served at AXA and ING, she possesses a deep understanding of consumer behavior and marketing communication.;https://xpertopinion.be/wp-content/uploads/2023/05/xpert-birgit-wauters.jpg
62;1700469706-62;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/bart-de-waele/;Bart De Waele;Xpert Marketing and Scale-up;Bart De Waele is a great expert to provide a second opinion because he has founded some internet companies and is the owner of N-Cube. He is passionate about internet, new technology, communication, transhumanism and entrepreneurship. He is an infovore, saphiofile, gadgetfreak, pattern recognizer and Snow Crash Gargoyle. He has been in business development consulting for years and has over 11K followers on LinkedIn.  He is also a web pioneer who founded Duke & Grace which was formerly known as Netlash.;https://xpertopinion.be/wp-content/uploads/2023/03/xpert-bart-de-waele.jpg
63;1700469709-63;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/anette-bohm/;Anette Bohm;HR professional;Anette Bohm is a great expert to provide a second opinion because she has more than 30 years of experience as a proactive and business-minded HR leader. She has steered organizations through complex transitions and built an empowered and talented workforce in cross-cultural environments and highly competitive markets. Her proven expertise in organizational structure and human capital requirements aligns HR functions with business goals, providing the catalyst to optimize performance, enhance productivity, and drive revenue and profit growth. Anette is a forward thinker and articulate communicator with an innate ability to embrace change. Her experience in steering organizations through complex transitions and building an empowered workforce makes her an expert in providing a second opinion.;https://xpertopinion.be/wp-content/uploads/2023/03/anette-bohm.jpg
64;1700469712-64;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/aldo-peeters/;Aldo Peeters;Xpert  Renewable Energy;Aldo Peeters is a widely interested and experienced energy consultant with a strong interest in energy policy and larger energy systems. He has an accent on industrial energy efficiency, but also integration of renewable energy, flexibility and storage. He is also experienced in the conceptual aspects of district heating systems and deep geothermal energy. Aldo Peeters has coached young engineers in his field of expertise.;https://xpertopinion.be/wp-content/uploads/2023/04/xpert-aldo-peeters.jpg
65;1700469715-65;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/alain-albertz/;Alain Albertz;Xpert Corporate Finance;Alain Albertz is a great expert to provide a second opinion because he is a passionate finance professional with a no-nonsense and can-do mentality. He specializes in helping start-ups and scale-ups become more professional organizations by supporting growth both organically and by acquisitions, post-merger integration, and setting up communication with investors, banks, and shareholders.;https://xpertopinion.be/wp-content/uploads/2023/03/xpert-Alain-Albertz.jpg
